ID;date;shipping_cost;total_order_cost;shipping_method;payment_method;destination_province;origin_province
9933886277;21/7/2016;690;6370;custom;mercadopago;Córdoba;Buenos Aires
9994911786;21/7/2004;650;6791;custom;custom;Buenos Aires;Buenos Aires
10000319178;21/7/2023;650;4440;custom;custom;Buenos Aires;Buenos Aires
10000885530;21/7/2001;650;3858;custom;mercadopago;Buenos Aires;Buenos Aires
10098749357;21/7/2001;0;11599;custom;custom;Córdoba;Buenos Aires
10099452306;21/7/2001;220;10794;custom;mercadopago;Córdoba;Buenos Aires
10099626025;21/7/2001;690;5263;custom;custom;Santa Fe;Buenos Aires
10103259473;21/7/2001;650;2479;custom;custom;Gran Buenos Aires;Buenos Aires
10110746525;21/7/2005;650;5223;custom;custom;Capital Federal;Buenos Aires
10112904730;21/7/2002;650;4948;custom;custom;Capital Federal;Buenos Aires
10117533894;21/7/2012;650;6368;custom;mercadopago;Gran Buenos Aires;Buenos Aires
10118964034;20/5/2011;166;12838;custom;custom;Gran Buenos Aires;Buenos Aires
10122410239;21/7/2003;650;3340;custom;mercadopago;Capital Federal;Buenos Aires
10124633396;21/7/2003;0;784;branch;mercadopago;Gran Buenos Aires;Buenos Aires
10126986411;21/7/2003;650;1786;custom;mercadopago;Capital Federal;Buenos Aires
10129137486;21/7/2004;650;4335;custom;custom;Buenos Aires;Buenos Aires
10132737561;21/7/2004;0;13010;custom;mercadopago;Capital Federal;Buenos Aires
10147328761;21/7/2006;0;11240;custom;mercadopago;Gran Buenos Aires;Buenos Aires
10151739885;21/7/2005;890;4508;custom;mercadopago;Neuquén;Buenos Aires
10156928018;21/7/2009;690;6478;custom;mercadopago;Cordoba;Buenos Aires
10168965758;21/7/2009;650;4830;custom;mercadopago;Buenos Aires;Buenos Aires
10169213537;21/7/2010;650;5684;custom;mercadopago;Capital Federal;Buenos Aires
10194456129;21/7/2008;0;9401;custom;custom;Capital Federal;Buenos Aires
10195991862;21/7/2009;790;5240;custom;custom;San Luis;Buenos Aires
10199231527;21/7/2009;690;2976;custom;custom;Cordoba;Buenos Aires
10209355115;21/7/2010;690;3380;custom;mercadopago;Santa Fe;Buenos Aires
10225950581;21/7/2011;650;4835;custom;mercadopago;Buenos Aires;Buenos Aires
10234338244;21/7/2012;650;5223;custom;custom;Gran Buenos Aires;Buenos Aires
10246729471;21/7/2013;690;8905;custom;mercadopago;Córdoba;Buenos Aires
10248791927;21/7/2013;0;587;branch;custom;San Luis;Buenos Aires
10250048417;21/7/2013;690;4239;custom;mercadopago;Entre Ríos;Buenos Aires
10251228754;21/1/2001;559;14442;custom;custom;Santa Fe;Buenos Aires
10254008327;21/7/2014;0;2450;branch;mercadopago;Córdoba;Buenos Aires
10264351404;21/7/2014;890;5340;custom;custom;Neuquén;Buenos Aires
10269635907;21/7/2019;0;3317;branch;mercadopago;Capital Federal;Buenos Aires
10270652737;21/7/2015;0;10060;custom;mercadopago;Capital Federal;Buenos Aires
10272231549;21/7/2015;690;2389;custom;custom;Córdoba;Buenos Aires
10283797007;21/7/2016;650;5754;custom;mercadopago;Gran Buenos Aires;Buenos Aires
10286092062;21/7/2016;650;2022;custom;custom;Buenos Aires;Buenos Aires
10291552216;21/7/2016;650;4985;custom;mercadopago;Buenos Aires;Buenos Aires
10292061114;21/7/2016;0;3918;branch;mercadopago;Buenos Aires;Buenos Aires
10305604710;21/7/2018;0;690;branch;mercadopago;Buenos Aires;Buenos Aires
10322665190;21/7/2019;650;7482;custom;mercadopago;Gran Buenos Aires;Buenos Aires
10365574082;21/7/2023;650;5632;custom;mercadopago;Gran Buenos Aires;Buenos Aires
10373337364;21/7/2023;650;2640;custom;mercadopago;Capital Federal;Buenos Aires
9966832213;21/7/2002;210;9300;custom;mercadopago;Capital Federal;Capital Federal
10170618147;21/7/2007;660;10500;correo-argentino;mercadopago;Chubut;Capital Federal
10272580459;21/7/2015;810;10400;correo-argentino;mercadopago;Santa Cruz;Capital Federal
10099510611;21/7/2001;350;2050;custom;mercadopago;Capital Federal;Capital Federal
10152976020;21/7/2006;740,65;1888;oca;mercadopago;Córdoba;Capital Federal
10160119268;21/7/2006;0;1700;branch;mercadopago;Capital Federal;Capital Federal
10170397347;21/7/2007;0;2000;branch;custom;Capital Federal;Capital Federal
10203369365;21/7/2009;407,14;4407;oca;custom;Gran Buenos Aires;Capital Federal
10213021775;21/7/2010;350;2350;custom;mercadopago;Capital Federal;Capital Federal
10236484558;21/7/2012;0;1500;branch;mercadopago;Capital Federal;Capital Federal
10259557721;21/7/2014;0;3000;branch;mercadopago;Capital Federal;Capital Federal
10270213575;21/7/2015;0;2000;branch;mercadopago;Capital Federal;Capital Federal
10273947073;21/7/2015;0;2000;branch;mercadopago;Capital Federal;Capital Federal
10277992083;21/7/2019;0;4500;branch;mercadopago;Capital Federal;Capital Federal
10280008332;21/7/2015;0;1350;branch;mercadopago;Capital Federal;Capital Federal
10287475006;21/7/2016;605,33;4505;oca;mercadopago;Gran Buenos Aires;Capital Federal
10289892559;21/7/2018;588,23;2188;oca;mercadopago;Gran Buenos Aires;Capital Federal
10290136773;21/7/2016;588,23;1948;oca;mercadopago;Buenos Aires;Capital Federal
9625181588;21/7/2022;0;800;branch;mercadopago;Gran Buenos Aires;Capital Federal
10071727945;21/7/2004;0;800;custom;mercadopago;Capital Federal;Capital Federal
10099900093;21/7/2001;0;2100;branch;mercadopago;Capital Federal;Capital Federal
10106604570;21/7/2002;6,67;18;custom;paypal_multiple;New York;Capital Federal
10162916942;21/7/2006;0;800;branch;mercadopago;Capital Federal;Capital Federal
10211742032;21/7/2010;0;800;branch;mercadopago;Capital Federal;Capital Federal
10222650771;21/7/2011;0;1600;branch;mercadopago;Gran Buenos Aires;Capital Federal
10234920167;21/7/2012;0;800;branch;mercadopago;Capital Federal;Capital Federal
10314175706;21/7/2018;0;1600;branch;mercadopago;Gran Buenos Aires;Capital Federal
10354847434;21/7/2022;0;1600;branch;mercadopago;Gran Buenos Aires;Capital Federal
9634719090;21/7/2021;540;14880;nube-envios;custom;Chubut;Capital Federal
9661951734;21/7/2003;343,98;13616;nube-envios;custom;Gran Buenos Aires;Capital Federal
9672206100;21/7/2005;438,26;12342;nube-envios;custom;Santa Fe;Capital Federal
9693223109;21/7/2002;310;12232;nube-envios;custom;Buenos Aires;Capital Federal
9761853407;21/7/2017;350;13870;custom;custom;Capital Federal;Capital Federal
9763331134;21/7/2014;443,3;27867;nube-envios;custom;Salta;Capital Federal
9827043779;21/7/2014;376,32;17476;nube-envios;mercadopago;Misiones;Capital Federal
10031032412;21/7/2010;376,32;17266;nube-envios;mercadopago;Neuquén;Capital Federal
10097870849;21/7/2001;350;13870;custom;custom;Capital Federal;Capital Federal
10111712824;21/7/2002;0;14880;branch;mercadopago;Capital Federal;Capital Federal
10122391747;21/7/2003;438,26;17338;nube-envios;mercadopago;Buenos Aires;Capital Federal
10125695398;21/7/2003;800;13400;nube-envios;custom;Misiones;Capital Federal
10147875149;21/7/2005;343,98;17234;nube-envios;mercadopago;Capital Federal;Capital Federal
10149131731;21/7/2005;343,98;15634;nube-envios;mercadopago;Gran Buenos Aires;Capital Federal
10158120752;21/7/2006;376,32;11800;nube-envios;custom;San Juan;Capital Federal
10159961051;21/7/2006;725;14320;nube-envios;custom;Rio Negro;Capital Federal
10177857305;21/7/2007;343,98;11768;nube-envios;custom;Gran Buenos Aires;Capital Federal
10181058928;21/7/2007;443,3;3299;nube-envios;custom;Jujuy;Capital Federal
10187868998;21/7/2008;610;17500;nube-envios;mercadopago;Mendoza;Capital Federal
10198285813;21/7/2009;333;32880;nube-envios;mercadopago;Santa Fe;Capital Federal
10205301135;21/7/2009;110;11590;nube-envios;mercadopago;Buenos Aires;Capital Federal
